F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2811892,3.194842,3.2214262,26.584148
3.6265774,3.5114481,3.5636835,52.235367
4.4324837,4.374919,4.3619947,-12.924194
4.9505663,4.8066545,4.8748317,68.17722
5.814037,5.6989074,5.7286634,29.75607
5.756472,5.6125603,5.6717806,59.220314
6.9653316,6.8214197,6.865056,43.636322
6.1018605,6.0155134,6.0129895,-2.523899
7.4834137,7.368284,7.375643,7.358551
8.001496,7.886367,7.885765,-0.6017685
8.116626,8.001496,7.999066,-2.430439
8.634708,8.490796,8.50867,17.873764
9.555744,9.38305,9.413753,30.70259
9.095226,8.980097,8.961338,-18.758774
10.24652,10.102609,10.091991,-10.617256
10.304085,10.188955,10.148495,-40.460587
11.512944,11.397815,11.334716,-63.098907
11.4553795,11.311468,11.278238,-33.229828
12.952063,12.779368,12.746866,-32.502174
12.203721,12.002245,12.01247,10.225296
13.815534,13.614057,13.594708,-19.348145
13.182322,12.9808445,12.9728985,-7.9460144
14.621439,14.39118,14.386712,-4.467964
15.081957,14.880481,14.839668,-40.812492
15.197086,14.99561,14.952956,-42.654037
15.312216,15.081957,15.066265,-15.691757
16.521074,16.290815,16.25738,-33.43582
16.751333,16.492292,16.48457,-7.7228546
18.132887,17.902628,17.850052,-52.576065
17.614805,17.384546,17.337507,-47.039032
18.248016,17.988976,17.964033,-24.942398
18.88123,18.593405,18.591488,-1.9168854
19.802265,19.485659,19.50587,20.212173
19.917395,19.600788,19.620316,19.527435
21.126253,20.809647,20.823975,14.328003
21.011124,20.694517,20.709183,14.665604
21.644335,21.298946,21.340948,42.001724
21.93216,21.586771,21.628447,41.675568
22.968325,22.594152,22.66513,70.978165
22.450241,22.07607,22.14646,70.388794
23.774231,23.400059,23.473236,73.17734
23.831795,23.486406,23.531017,44.610977
25.213348,24.896742,24.920017,23.275375
24.925524,24.580135,24.63029,50.153732
25.501171,25.184566,25.20992,25.354385
25.328478,25.011871,25.035957,24.085999
26.882725,26.594902,26.603846,8.943558
26.537336,26.278296,26.255007,-23.288727
27.861326,27.602283,27.593433,-8.850098
27.573502,27.31446,27.302197,-12.264252
28.264278,27.976456,28.001404,24.94812
29.012619,28.78236,28.759775,-22.584915
29.760962,29.50192,29.519018,17.097473
30.048784,29.818525,29.811249,-7.276535
30.739561,30.59565,30.513063,-82.58629
30.279043,30.10635,30.045116,-61.23352
31.603033,31.401556,31.39117,-10.385513
31.545467,31.315208,31.332603,17.39502
32.6392,32.495285,32.445995,-49.289703
32.869457,32.696762,32.68055,-16.212463
33.560234,33.41632,33.38449,-31.829834
33.848057,33.67536,33.67792,2.5596619
34.48127,34.308575,34.323692,15.117645
34.538834,34.39492,34.382412,-12.508392
35.45987,35.315956,35.322243,6.286621
35.747692,35.60378,35.616043,12.264252
36.611164,36.496033,36.49771,1.6784668
36.150646,36.006733,36.027443,20.709991
37.992718,37.90637,37.909035,2.6664734
37.474632,37.388287,37.379704,-8.583069
38.395668,38.309322,38.32079,11.46698
38.28054,38.222977,38.203144,-19.832611
40.00748,39.921135,39.96819,47.05429
39.144012,39.086445,39.085594,-0.8506775
