Fexperiment_GHz,Fstandard_GHz
120.2936473239,119.869991957719
132.683999253203,132.055877638719
144.725327184498,144.240210169406
156.766655115793,156.422989846594
168.924324379757,168.60421696725
181.372846975395,180.783891828031
193.29783357402,192.962014725656
205.455502837984,205.138585956781
217.729513434618,217.313605817875
230.178036030256,229.487074605469
242.510217293225,241.658992615875
254.43520389185,253.829360145469
266.243849157806,265.998177490469
278.750542419778,278.165444947
290.617358352069,290.331162811219
302.949539615037,302.495331379063
315.049038212667,314.6579509465
326.857683478623,326.819021809375
339.480718073265,338.9785442635
351.40570467189,351.136518604563
363.970568600198,363.292945128188
376.535432528505,375.447824129938
388.5767604598,387.601155905281
400.269064393086,399.752940749688
412.659416322389,411.903178958406
424.642573587349,424.05187082675
436.50938951964,436.199016649844
448.667058783604,448.344616722875
461.115581379242,460.488671340844
472.749714646193,472.631180798656
485.372749240836,484.77214539125
497.239565173126,496.911565413375
509.455405103425,509.049441159844
521.38039170205,521.185772925219
533.828914297688,533.320561004188
545.986583561652,545.453805691188
557.737058161273,557.585507280625
569.778386092568,569.715666066938
582.168738021871,581.844282344313
594.035553954162,593.971356407063
605.786028553783,606.096888549188
617.943697817747,618.220879064875
629.926855082707,630.343328248031
642.200865679341,642.464236392594
654.184022944301,654.583603792406
666.341692208265,666.701430741156
679.081068135577,678.817717532625
690.482518737189,690.932464460344
702.756529333823,703.045671817906
714.739686598783,715.157339898719
726.897355862747,727.267468996188
774.888155588921,775.692601417781
787.22033685189,787.795039996719
799.028982117846,799.895941351063
810.953968716471,811.995305773688
823.111637980435,824.093133557375
834.745771247386,836.189424994781
847.01978184402,848.284180378656
858.653915110972,860.377400001469
871.10243770661,872.469084155781
882.736570973561,884.559233133969
894.545216239517,896.647847228375
906.586544170811,908.734926731281
918.744213434776,920.820471934938
930.727370699736,932.904483131375
942.710527964696,944.986960612656
954.693685229656,957.067904670781
966.153306497603,969.147315597625
978.601829093241,981.225193685094
990.5849863582,993.301539224813
1002.56814362316,1005.37635250856
1014.78398355346,1017.44963382784
1026.47628748675,1029.52138347425
1038.57578608438,1041.59160173928
1050.675284682,1053.66028891419
1062.94929527864,1065.72744529041
1074.87428187726,1077.79307115909
1086.68292714322,1089.85716681141
1098.43340174284,1101.9197325385
1110.70741233947,1113.98076863131
1122.28337494009,1126.04027538078
1134.09202020605,1138.09825307784
1146.13334813734,1150.15470201322
1158.00016406963,1162.20962247759
1169.86698000192,1174.26301476175
1181.67562526788,1186.31487915609
1193.6006118665,1198.36521595125
1205.93279312947,1210.41402543756
1217.74143839543,1222.46130790538
1229.66642499405,1234.50706364503
1241.53324092634,1246.55129294663
1253.28371552596,1258.59399610041
1265.26687279092,1270.63517339631
1277.42454205489,1282.67482512441
1288.88416332284,1294.71295157459
1300.80914992146,1306.74955303663
1312.79230718642,1318.78462980034
1325.00814711672,1330.81818215538
1336.351427052,1342.85021039141
1348.04373098528,1354.88071479791
1360.43408291459,1366.90969566438
1372.06821618154,1378.93715328022
1383.99320278016,1390.96308793472
1395.91818937879,1402.98749991713
1407.72683464474,1415.01038951666
1419.5354799107,1427.03175702238
1431.34412517666,1439.05160272328
1443.26911177528,1451.06992690841
