F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2811892,3.194842,3.2341108,39.26873
3.6265774,3.5114481,3.5578759,46.427727
4.4324837,4.374919,4.3379865,-36.93247
4.9505663,4.8066545,4.846796,40.141582
5.814037,5.6989074,5.6973515,-1.5559196
5.756472,5.6125603,5.6405344,27.974129
6.9653316,6.8214197,6.8386254,17.205715
6.1018605,6.0155134,5.9817924,-33.72097
7.4834137,7.368284,7.354444,-13.8401985
8.001496,7.886367,7.8706765,-15.690327
8.116626,8.001496,7.9853888,-16.10756
8.634708,8.490796,8.501348,10.551453
9.555744,9.38305,9.416884,33.834457
9.095226,8.980097,8.95944,-20.656586
10.24652,10.102609,10.101775,-0.83351135
10.304085,10.188955,10.158784,-30.171394
11.512944,11.397815,11.354219,-43.595314
11.4553795,11.311468,11.29735,-14.118195
12.952063,12.779368,12.775508,-3.8604736
12.203721,12.002245,12.036501,34.25598
13.815534,13.614057,13.627193,13.136864
13.182322,12.9808445,13.002815,21.970749
14.621439,14.39118,14.419186,28.0056
15.081957,14.880481,14.870844,-9.636879
15.197086,14.99561,14.983817,-11.793137
15.312216,15.081957,15.096859,14.902115
16.521074,16.290815,16.291328,0.5130768
16.751333,16.492292,16.520227,27.935028
18.132887,17.902628,17.88481,-17.81845
17.614805,17.384546,17.376556,-7.9898834
18.248016,17.988976,17.996931,7.955551
18.88123,18.593405,18.608196,14.791489
19.802265,19.485659,19.486916,1.2569427
19.917395,19.600788,19.596691,-4.096985
21.126253,20.809647,20.763624,-46.022415
21.011124,20.694517,20.650953,-43.563843
21.644335,21.298946,21.275068,-23.878098
21.93216,21.586771,21.562109,-24.662018
22.968325,22.594152,22.608158,14.005661
22.450241,22.07607,22.083069,6.998062
23.774231,23.400059,23.429794,29.735565
23.831795,23.486406,23.488613,2.2068024
25.213348,24.896742,24.901728,4.9858093
24.925524,24.580135,24.607302,27.166367
25.501171,25.184566,25.19607,11.50322
25.328478,25.011871,25.019478,7.6065063
26.882725,26.594902,26.607222,12.319565
26.537336,26.278296,26.254715,-23.580551
27.861326,27.602283,27.60506,2.7770996
27.573502,27.31446,27.311707,-2.7542114
28.264278,27.976456,28.015598,39.14261
29.012619,28.78236,28.777634,-4.72641
29.760962,29.50192,29.539293,37.37259
30.048784,29.818525,29.832167,13.641357
30.739561,30.59565,30.534946,-60.703278
30.279043,30.10635,30.066442,-39.907455
31.603033,31.401556,31.413273,11.716843
31.545467,31.315208,31.35472,39.510727
32.6392,32.495285,32.46715,-28.133392
32.869457,32.696762,32.70134,4.5776367
33.560234,33.41632,33.4039,-12.420654
33.848057,33.67536,33.696632,21.270752
34.48127,34.308575,34.340652,32.07779
34.538834,34.39492,34.399197,4.2762756
35.45987,35.315956,35.335968,20.011902
35.747692,35.60378,35.628708,24.929047
36.611164,36.496033,36.50695,10.917664
36.150646,36.006733,36.038555,31.822205
37.992718,37.90637,37.912148,5.7792664
37.474632,37.388287,37.385197,-3.0899048
38.395668,38.309322,38.32199,12.66861
38.28054,38.222977,38.204895,-18.081665
40.00748,39.921135,39.96135,40.21454
39.144012,39.086445,39.083134,-3.3111572
