F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
202.13977,202.0,202.15977,159.77478
205.16464,205.0,205.17464,174.63684
214.00659,214.0,213.98973,-10.269165
217.78769,218.0,217.76044,-239.56299
226.22243,226.0,226.17432,174.3164
227.03682,227.0,226.98686,-13.137817
229.82901,230.0,229.77293,-227.06604
237.74022,238.0,237.6686,-331.40564
243.90631,244.0,243.82436,-175.64392
249.14168,249.0,249.05212,52.124023
250.13057,250.0,250.0397,39.70337
255.07509,255.0,254.97818,-21.820068
259.84506,260.0,259.74316,-256.83594
264.2079,264.0,264.10214,102.142334
271.1302,271.0,271.01962,19.622803
272.2936,272.0,272.1824,182.40356
282.997,283.0,282.88174,-118.255615
284.1604,284.0,284.0449,44.891357
290.26834,290.0,290.15225,152.2522
298.00504,298.0,297.88965,-110.35156
300.2155,300.0,300.10062,100.616455
306.32343,306.0,306.21048,210.47974
314.35098,314.0,314.24194,241.94336
319.12097,319.0,319.01492,14.923096
320.1099,320.0,320.00452,4.5166016
320.9243,321.0,320.8195,-180.51147
333.02377,333.0,332.92896,-71.04492
335.23425,335.0,335.14154,141.54053
344.13437,344.0,344.05087,50.872803
348.96252,349.0,348.88446,-115.53955
350.06778,350.0,349.99103,-8.972168
356.1757,356.0,356.1063,106.292725
365.0758,365.0,365.01773,17.730713
366.23923,366.0,366.18268,182.67822
376.94263,377.0,376.90045,-99.54834
378.04788,378.0,378.00723,7.232666
382.99237,383.0,382.95847,-41.534424
385.95908,386.0,385.92926,-70.739746
390.9036,391.0,390.88055,-119.4458
395.90625,396.0,395.89005,-109.954834
403.9338,404.0,403.92834,-71.65527
405.27173,405.0,405.26804,268.0359
415.80063,416.0,415.81036,-189.63623
418.8255,419.0,418.83893,-161.07178
420.16342,420.0,420.17847,178.4668
421.85037,422.0,421.86743,-132.56836
433.01913,433.0,433.0488,48.797607
435.75317,436.0,435.78574,-214.26392
442.73364,443.0,442.77322,-226.77612
445.87488,446.0,445.91742,-82.58057
450.12134,450.0,450.16772,167.72461
457.6835,458.0,457.73627,-263.7329
465.01303,465.0,465.07138,71.380615
468.15424,468.0,468.2148,214.81323
471.06277,471.0,471.12534,125.33569
475.71643,476.0,475.782,-217.98706
482.81323,483.0,482.8831,-116.91284
483.86032,484.0,483.9308,-69.21387
494.7964,495.0,494.8728,-127.197266
496.83237,497.0,496.90982,-90.17944
503.75467,504.0,503.83563,-164.36768
506.72137,507.0,506.80383,-196.16699
512.7711,513.0,512.8566,-143.37158
513.99274,514.0,514.0789,78.91846
522.7183,523.0,522.80914,-190.85693
526.0922,526.0,526.18494,184.93652
529.93146,530.0,530.0264,26.428223
534.93414,535.0,535.0323,32.287598
543.89246,544.0,543.99695,-3.0517578
548.9533,549.0,549.0618,61.828613
551.7455,552.0,551.85645,-143.55469
553.0252,553.0,553.13727,137.26807
560.9946,561.0,561.1145,114.50195
568.9058,569.0,569.0346,34.606934
571.0,571.0,571.13135,131.34766
573.734,574.0,573.8689,-131.10352
582.8086,583.0,582.9564,-43.5791
587.9858,588.0,588.1419,141.90674
589.61456,590.0,589.7735,-226.50146
592.5813,593.0,592.7454,-254.57764
601.8886,602.0,602.0707,70.67871
607.64746,608.0,607.8418,-158.20312
609.74164,610.0,609.94073,-59.265137
614.7443,615.0,614.9552,-44.799805
621.6666,622.0,621.895,-104.98047
625.8549,626.0,626.0946,94.60449
636.90735,637.0,637.1793,179.32129
638.5943,639.0,638.8715,-128.479
640.63025,641.0,640.91394,-86.05957
642.84076,643.0,643.13153,131.53076
649.5304,650.0,649.84357,-156.4331
658.605,659.0,658.95044,-49.560547
659.65204,660.0,660.00134,1.3427734
661.6299,662.0,661.9866,-13.427734
674.54376,675.0,674.951,-49.01123
677.74316,678.0,678.1635,163.51318
685.5962,686.0,686.0497,49.682617
686.64325,687.0,687.10126,101.257324
692.57666,693.0,693.0606,60.60791
698.6846,699.0,699.1959,195.92285
699.5571,700.0,700.07245,72.44873
702.3493,703.0,702.8774,-122.61963
711.4821,712.0,712.05286,52.856445
716.25214,717.0,716.8456,-154.41895
724.10516,725.0,724.7366,-263.42773
726.1411,727.0,726.78253,-217.46826
730.27124,731.0,730.933,-67.0166
737.3681,738.0,738.0651,65.12451
